Stock_id,date,證券名稱,condition,處置措施,處置內容,event_start_date,event_end_date,interval,key_date,disposal_level,is_first_disposal,is_second_disposal
00642U,2020-03-26,元大S&P石油,監視業務督導會報決議,督導會報決議,１處置原因：「公布或通知注意交易資訊暨處置作業要點」第六條第四項經「監視業務督導會報」決議。２處置期間：自民國一百零九年三月二十七日起至一百零九年四月十三日﹝十個營業日，如遇有價證券最後交易日在處置期間，僅處置至最後交易日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行〕。３處置措施：ａ以人工管制之撮合終端機執行撮合作業（約每五分鐘撮合一次）。ｂ投資人每日委託買賣該有價證券數量單筆達十交易單位或多筆累積達三十交易單位時，應就其當日已委託之買賣，向該投資人收取全部的買進價金或賣出證券。但信用交易了結或違約專戶、認購（售）權證流動量提供者專戶或認購（售）權證避險專戶（不含帳號編碼前三碼為「九二九」帳戶）委託買賣該有價證券者，不在此限。ｃ信用交易部分，應收足融資自備款或融券保證金。有關信用交易了結部分，則依相關規定辦理。,2020-03-27,2020-04-13,5.0,2023-12-01 10:33:19.063937,1,True,False
00642U,2020-04-06,元大S&P石油,監視業務督導會報決議,督導會報決議,１處置原因：「公布或通知注意交易資訊暨處置作業要點」第六條第四項經「監視業務督導會報」決議。２處置期間：自民國一百零九年四月七日起至一百零九年四月二十日﹝十個營業日，如遇有價證券最後交易日在處置期間，僅處置至最後交易日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行〕。３處置措施：ａ以人工管制之撮合終端機執行撮合作業（約每五分鐘撮合一次）。ｂ投資人每日委託買賣該有價證券數量單筆達十交易單位或多筆累積達三十交易單位時，應就其當日已委託之買賣，向該投資人收取全部的買進價金或賣出證券。但信用交易了結或違約專戶、認購（售）權證流動量提供者專戶或認購（售）權證避險專戶（不含帳號編碼前三碼為「九二九」帳戶）委託買賣該有價證券者，不在此限。ｃ信用交易部分，應收足融資自備款或融券保證金。有關信用交易了結部分，則依相關規定辦理。,2020-04-07,2020-04-20,5.0,2023-12-01 10:33:19.063937,2,False,True
00642U,2020-04-13,元大S&P石油,監視業務督導會報決議,督導會報決議,１處置原因：「公布或通知注意交易資訊暨處置作業要點」第六條第四項經「監視業務督導會報」決議。２處置期間：自民國一百零九年四月十四日起至一百零九年四月二十七日﹝十個營業日，如遇有價證券最後交易日在處置期間，僅處置至最後交易日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行〕。３處置措施：ａ以人工管制之撮合終端機執行撮合作業（約每五分鐘撮合一次）。ｂ投資人每日委託買賣該有價證券數量單筆達十交易單位或多筆累積達三十交易單位時，應就其當日已委託之買賣，向該投資人收取全部的買進價金或賣出證券。但信用交易了結或違約專戶、認購（售）權證流動量提供者專戶或認購（售）權證避險專戶（不含帳號編碼前三碼為「九二九」帳戶）委託買賣該有價證券者，不在此限。ｃ信用交易部分，應收足融資自備款或融券保證金。有關信用交易了結部分，則依相關規定辦理。,2020-04-14,2020-04-27,5.0,2023-12-01 10:33:19.063937,3,False,False
00642U,2020-04-21,元大S&P石油,監視業務督導會報決議,督導會報決議,１處置原因：「公布或通知注意交易資訊暨處置作業要點」第六條第四項經「監視業務督導會報」決議。２處置期間：自民國一百零九年四月二十二日起至一百零九年五月六日﹝十個營業日，如遇：ａ有價證券最後交易日在處置期間，僅處置至最後交易日，ｂ有價證券停止買賣、全日暫停交易則順延執行，ｃ開休市日變動則調整處置迄日〕。３處置措施：ａ以人工管制之撮合終端機執行撮合作業（約每五分鐘撮合一次）。ｂ投資人每日委託買賣該有價證券數量單筆達十交易單位或多筆累積達三十交易單位時，應就其當日已委託之買賣，向該投資人收取全部的買進價金或賣出證券。但信用交易了結或違約專戶、認購（售）權證流動量提供者專戶或認購（售）權證避險專戶（不含帳號編碼前三碼為「九二九」帳戶）委託買賣該有價證券者，不在此限。ｃ信用交易部分，應收足融資自備款或融券保證金。有關信用交易了結部分，則依相關規定辦理。,2020-04-22,2020-05-06,5.0,2023-12-01 10:33:19.063937,4,False,False
00642U,2020-04-28,元大S&P石油,監視業務督導會報決議,督導會報決議,１處置原因：「公布或通知注意交易資訊暨處置作業要點」第六條第四項經「監視業務督導會報」決議。２處置期間：自民國一百零九年四月二十九日起至一百零九年五月十三日﹝十個營業日，如遇：ａ有價證券最後交易日在處置期間，僅處置至最後交易日，ｂ有價證券停止買賣、全日暫停交易則順延執行，ｃ開休市日變動則調整處置迄日〕。３處置措施：ａ以人工管制之撮合終端機執行撮合作業（約每五分鐘撮合一次）。ｂ投資人每日委託買賣該有價證券數量單筆達十交易單位或多筆累積達三十交易單位時，應就其當日已委託之買賣，向該投資人收取全部的買進價金或賣出證券。但信用交易了結或違約專戶、認購（售）權證流動量提供者專戶或認購（售）權證避險專戶（不含帳號編碼前三碼為「九二九」帳戶）委託買賣該有價證券者，不在此限。ｃ信用交易部分，應收足融資自備款或融券保證金。有關信用交易了結部分，則依相關規定辦理。,2020-04-29,2020-05-13,5.0,2023-12-01 10:33:19.063937,5,False,False
00642U,2020-05-06,元大S&P石油,監視業務督導會報決議,督導會報決議,１處置原因：「公布或通知注意交易資訊暨處置作業要點」第六條第四項經「監視業務督導會報」決議。２處置期間：自民國一百零九年五月七日起至一百零九年五月二十日﹝十個營業日，如遇：ａ有價證券最後交易日在處置期間，僅處置至最後交易日，ｂ有價證券停止買賣、全日暫停交易則順延執行，ｃ開休市日變動則調整處置迄日〕。３處置措施：ａ以人工管制之撮合終端機執行撮合作業（約每五分鐘撮合一次）。ｂ投資人每日委託買賣該有價證券數量單筆達十交易單位或多筆累積達三十交易單位時，應就其當日已委託之買賣，向該投資人收取全部的買進價金或賣出證券。但信用交易了結或違約專戶、認購（售）權證流動量提供者專戶或認購（售）權證避險專戶（不含帳號編碼前三碼為「九二九」帳戶）委託買賣該有價證券者，不在此限。ｃ信用交易部分，應收足融資自備款或融券保證金。有關信用交易了結部分，則依相關規定辦理。,2020-05-07,2020-05-20,5.0,2023-12-01 10:33:19.063937,6,False,False
00642U,2020-05-13,元大S&P石油,監視業務督導會報決議,督導會報決議,１處置原因：「公布或通知注意交易資訊暨處置作業要點」第六條第四項經「監視業務督導會報」決議。２處置期間：自民國一百零九年五月十四日起至一百零九年五月二十七日﹝十個營業日，如遇：ａ有價證券最後交易日在處置期間，僅處置至最後交易日，ｂ有價證券停止買賣、全日暫停交易則順延執行，ｃ開休市日變動則調整處置迄日〕。３處置措施：ａ以人工管制之撮合終端機執行撮合作業（約每五分鐘撮合一次）。ｂ投資人每日委託買賣該有價證券數量單筆達十交易單位或多筆累積達三十交易單位時，應就其當日已委託之買賣，向該投資人收取全部的買進價金或賣出證券。但信用交易了結或違約專戶、認購（售）權證流動量提供者專戶或認購（售）權證避險專戶（不含帳號編碼前三碼為「九二九」帳戶）委託買賣該有價證券者，不在此限。ｃ信用交易部分，應收足融資自備款或融券保證金。有關信用交易了結部分，則依相關規定辦理。,2020-05-14,2020-05-27,5.0,2023-12-01 10:33:19.063937,7,False,False
00642U,2020-05-20,元大S&P石油,監視業務督導會報決議,督導會報決議,１處置原因：「公布或通知注意交易資訊暨處置作業要點」第六條第四項經「監視業務督導會報」決議。２處置期間：自民國一百零九年五月二十一日起至一百零九年六月三日﹝十個營業日，如遇：ａ有價證券最後交易日在處置期間，僅處置至最後交易日，ｂ有價證券停止買賣、全日暫停交易則順延執行，ｃ開休市日變動則調整處置迄日〕。３處置措施：ａ以人工管制之撮合終端機執行撮合作業（約每五分鐘撮合一次）。ｂ投資人每日委託買賣該有價證券數量單筆達十交易單位或多筆累積達三十交易單位時，應就其當日已委託之買賣，向該投資人收取全部的買進價金或賣出證券。但信用交易了結或違約專戶、認購（售）權證流動量提供者專戶或認購（售）權證避險專戶（不含帳號編碼前三碼為「九二九」帳戶）委託買賣該有價證券者，不在此限。ｃ信用交易部分，應收足融資自備款或融券保證金。有關信用交易了結部分，則依相關規定辦理。,2020-05-21,2020-06-03,5.0,2023-12-01 10:33:19.063937,8,False,False
00642U,2020-05-27,元大S&P石油,監視業務督導會報決議,督導會報決議,１處置原因：「公布或通知注意交易資訊暨處置作業要點」第六條第四項經「監視業務督導會報」決議。２處置期間：自民國一百零九年五月二十八日起至一百零九年六月十日﹝十個營業日，如遇：ａ有價證券最後交易日在處置期間，僅處置至最後交易日，ｂ有價證券停止買賣、全日暫停交易則順延執行，ｃ開休市日變動則調整處置迄日〕。３處置措施：ａ以人工管制之撮合終端機執行撮合作業（約每五分鐘撮合一次）。ｂ投資人每日委託買賣該有價證券數量單筆達十交易單位或多筆累積達三十交易單位時，應就其當日已委託之買賣，向該投資人收取全部的買進價金或賣出證券。但信用交易了結或違約專戶、認購（售）權證流動量提供者專戶或認購（售）權證避險專戶（不含帳號編碼前三碼為「九二九」帳戶）委託買賣該有價證券者，不在此限。ｃ信用交易部分，應收足融資自備款或融券保證金。有關信用交易了結部分，則依相關規定辦理。,2020-05-28,2020-06-10,5.0,2023-12-01 10:33:19.063937,9,False,False
00642U,2020-06-03,元大S&P石油,監視業務督導會報決議,督導會報決議,１處置原因：「公布或通知注意交易資訊暨處置作業要點」第六條第四項經「監視業務督導會報」決議。２處置期間：自民國一百零九年六月四日起至一百零九年六月十七日﹝十個營業日，如遇：ａ有價證券最後交易日在處置期間，僅處置至最後交易日，ｂ有價證券停止買賣、全日暫停交易則順延執行，ｃ開休市日變動則調整處置迄日〕。３處置措施：ａ以人工管制之撮合終端機執行撮合作業（約每五分鐘撮合一次）。ｂ投資人每日委託買賣該有價證券數量單筆達十交易單位或多筆累積達三十交易單位時，應就其當日已委託之買賣，向該投資人收取全部的買進價金或賣出證券。但信用交易了結或違約專戶、認購（售）權證流動量提供者專戶或認購（售）權證避險專戶（不含帳號編碼前三碼為「九二九」帳戶）委託買賣該有價證券者，不在此限。ｃ信用交易部分，應收足融資自備款或融券保證金。有關信用交易了結部分，則依相關規定辦理。,2020-06-04,2020-06-17,5.0,2023-12-01 10:33:19.063937,10,False,False
